pop1	pop2	pop3	pop4	f4	se	z	p	phase	description	usable
ITALY_T1	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T2	-8.0102336111216e-05	4.57346861397982e-05	-1.75145699844458	0.0798672222238352	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T3	-0.000681519410685807	7.15904902306228e-05	-9.51969191006164	1.73693239307245e-21	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T4	-0.000561117521024033	6.55610202340238e-05	-8.55870636273034	1.14141022085157e-17	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	GREECE_T0	-0.000546521746885995	7.37906134337149e-05	-7.40638573735301	1.29787966742309e-13	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T1	AFRICA_W_T0	IBERIA_T1	GREECE_T1	-0.000382767329919972	5.76179351876621e-05	-6.64319762020793	3.06949838729942e-11	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	GREECE_T2	-0.000762212876281749	6.6676487192823e-05	-11.4315091927007	2.91006539821517e-30	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	LEVANT_T0	-0.000177656572838566	5.15184400172399e-05	-3.44840745913726	0.00056390266446882	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	LEVANT_T1	-0.000450092021631628	5.13482986779657e-05	-8.76547097410977	1.85997449070584e-18	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	LEVANT_T2	-0.000725004805865682	6.53698279458858e-05	-11.0908171039681	1.39012135270667e-28	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T1	LEVANT_T3	-0.000579211152892171	6.48330875819963e-05	-8.9338819805493	4.11316099083371e-19	C_reverse	f4(ITALY_T1, Africa; IBERIA_T1, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T0	0.000868550818214917	5.89128494384297e-05	14.7429775760999	3.4139446811903e-49	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T1	0.000709623520449956	5.90882598776155e-05	12.0095518453198	3.16555847096798e-33	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, EUROPE_NW_T1) [Italy→Iberia?]	YES
