pop1	pop2	pop3	pop4	phase	description	usable	skip_reason
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T0	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T0) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T5	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T5) [cross-layer]	PARTIAL	n<2: IBERIA_T3, BALKANS_T5
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T1	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T1) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T2	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T2) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	BALKANS_T4	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, BALKANS_T4) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	MALTA_T1	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, MALTA_T1) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ANATOLIA_T3	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, ANATOLIA_T3) [cross-layer]	PARTIAL	n<2: IBERIA_T3, ANATOLIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ANATOLIA_T2	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, ANATOLIA_T2) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ANATOLIA_T1	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, ANATOLIA_T1) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	ANATOLIA_T0	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, ANATOLIA_T0) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T4	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T4) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T3	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T3) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T1	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T1) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T5	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T5) [cross-layer]	PARTIAL	n<2: IBERIA_T3, EUROPE_NW_T5
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T0	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T0) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_NW_T2	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_NW_T2) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_CENTRAL_T4	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_CENTRAL_T4) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_CENTRAL_T1	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_CENTRAL_T1) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_CENTRAL_T3	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_CENTRAL_T3) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_CENTRAL_T0	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_CENTRAL_T0) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T1	AFRICA_W_T0	IBERIA_T3	EUROPE_CENTRAL_T2	A_cross	f4(MAGHREB_T1, Africa; IBERIA_T3, EUROPE_CENTRAL_T2) [cross-layer]	PARTIAL	n<2: IBERIA_T3
MAGHREB_T2	AFRICA_W_T0	IBERIA_T0	BALKANS_T5	A_cross	f4(MAGHREB_T2, Africa; IBERIA_T0, BALKANS_T5) [cross-layer]	PARTIAL	n<2: BALKANS_T5
MAGHREB_T2	AFRICA_W_T0	IBERIA_T0	ANATOLIA_T3	A_cross	f4(MAGHREB_T2, Africa; IBERIA_T0, ANATOLIA_T3) [cross-layer]	PARTIAL	n<2: ANATOLIA_T3
MAGHREB_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T5	A_cross	f4(MAGHREB_T2, Africa; IBERIA_T0, EUROPE_NW_T5) [cross-layer]	PARTIAL	n<2: EUROPE_NW_T5
MAGHREB_T2	AFRICA_W_T0	IBERIA_T1	BALKANS_T5	A_cross	f4(MAGHREB_T2, Africa; IBERIA_T1, BALKANS_T5) [cross-layer]	PARTIAL	n<2: BALKANS_T5
MAGHREB_T2	AFRICA_W_T0	IBERIA_T1	ANATOLIA_T3	A_cross	f4(MAGHREB_T2, Africa; IBERIA_T1, ANATOLIA_T3) [cross-layer]	PARTIAL	n<2: ANATOLIA_T3
