sample_id	custom_pop_label	group_id	region	layer	qc
CGG_2_107535.SG	EUROPE_NORTH_T0	Denmark_GevningeOverdrev_PreImperialRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107536.SG	EUROPE_NORTH_T0	Denmark_KongensNytorv_EarlyModern	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107579.SG	EUROPE_NORTH_T0	Denmark_Kalmargarden_EarlyMedieval	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107580.SG	EUROPE_NORTH_T0	Denmark_Kalmargarden_EarlyMedieval	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107581.SG	EUROPE_NORTH_T0	Denmark_Trelleborg_Viking	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107582.SG	EUROPE_NORTH_T0	Denmark_Trelleborg_Viking	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107583.SG	EUROPE_NORTH_T0	Denmark_Trelleborg_Viking	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107735.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107736.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107738.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107739.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107741.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107742.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107744.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107745.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107746.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107747.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107748.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107749.SG	EUROPE_NW_T1	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T1	PROVISIONAL_PASS
CGG_2_107750.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107751.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107752.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107753.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107754.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107755.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107756.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107757.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107758.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107759.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107760.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107761.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107762.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107763.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107764.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107765.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_EarlyRoman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107766.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107767.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CGG_2_107768.SG	EUROPE_NW_T0	Netherlands_ValkenburgMarktveld_Roman	EUROPE_CONTROL	T0	PROVISIONAL_PASS
CpM0203.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM0506.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM11.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM12.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM13.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM34.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
CpM4243.SG	OUTGROUP_T0	Honduras_Copan_Classic_Maya	OUTGROUP	T0	PROVISIONAL_PASS
ERI002.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
ERI003.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
ERI004.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_Modern	OUTGROUP	T0	PROVISIONAL_PASS
ERI005.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_Modern	OUTGROUP	T0	PROVISIONAL_PASS
ERI006.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
ERI007.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_Modern	OUTGROUP	T0	PROVISIONAL_PASS
ERI008.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_Modern	OUTGROUP	T0	PROVISIONAL_PASS
ERI009.AG	OUTGROUP_T0	PapuaNewGuinea_Eriama_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR001.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR002.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR003.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR004.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR005.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR006.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR007.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_Modern	OUTGROUP	T0	PROVISIONAL_PASS
NBR008.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR009.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
