sample_id	master_id	group_id	population	region	subregion	layer	role
NA18947.DG	NA18947	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA18948.DG	NA18948	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
HG03899.DG	HG03899	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03900.DG	HG03900	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG01599.DG	HG01599	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
HG01600.DG	HG01600	Kinh_Vietnamese	Kinh_Vietnamese	OUTGROUP	SE_Asia	T0	OUTGROUP
HG03109.DG	HG03109	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03111.DG	HG03111	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02513.DG	HG02513	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
HG02521.DG	HG02521	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
NA19434.DG	NA19434	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19435.DG	NA19435	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
HG01122.DG	HG01122	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01124.DG	HG01124	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01589.DG	HG01589	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG01593.DG	HG01593	PJL	PJL	OUTGROUP	South_Asia	T0	OUTGROUP
HG01495.DG	HG01495	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01497.DG	HG01497	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG03240.DG	HG03240	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03241.DG	HG03241	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02629.DG	HG02629	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02634.DG	HG02634	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA19834.DG	NA19834	ASW	ASW	OUTGROUP	Americas	T0	OUTGROUP
NA19835.DG	NA19835	ASW	ASW	OUTGROUP	Americas	T0	OUTGROUP
NA20849.DG	NA20849	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20850.DG	NA20850	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA19328.DG	NA19328	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19331.DG	NA19331	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
HG02839.DG	HG02839	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02840.DG	HG02840	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA20539.DG	NA20539	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20540.DG	NA20540	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG03369.DG	HG03369	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03370.DG	HG03370	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA18973.DG	NA18973	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA18974.DG	NA18974	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
HG02816.DG	HG02816	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02817.DG	HG02817	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA19914.DG	NA19914	ASW	ASW	OUTGROUP	Americas	T0	OUTGROUP
NA19916.DG	NA19916	ASW	ASW	OUTGROUP	Americas	T0	OUTGROUP
HG03689.DG	HG03689	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03690.DG	HG03690	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG01101.DG	HG01101	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
HG01102.DG	HG01102	PUR	PUR	OUTGROUP	Other	T0	OUTGROUP
NA19307.DG	NA19307	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19308.DG	NA19308	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA20846.DG	NA20846	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20847.DG	NA20847	GujaratiD	GujaratiD	OUTGROUP	Americas	T0	OUTGROUP
HG04025.DG	HG04025	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG04026.DG	HG04026	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG00139.DG	HG00139	GBR	GBR	EUROPE_CONTROL	British_Isles	T0	CONTROL
HG00140.DG	HG00140	GBR	GBR	EUROPE_CONTROL	British_Isles	T0	CONTROL
NA18868.DG	NA18868	YRI	YRI	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA18870.DG	NA18870	YRI	YRI	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG00473.DG	HG00473	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00475.DG	HG00475	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
NA19438.DG	NA19438	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19439.DG	NA19439	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA18963.DG	NA18963	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA18964.DG	NA18964	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA12045.DG	NA12045	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA12046.DG	NA12046	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG02252.DG	HG02252	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
HG02253.DG	HG02253	PEL	PEL	OUTGROUP	Americas	T0	OUTGROUP
NA19661.DG	NA19661	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA19663.DG	NA19663	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA20895.DG	NA20895	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
NA20896.DG	NA20896	GIH	GIH	OUTGROUP	Americas	T0	OUTGROUP
HG03196.DG	HG03196	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03198.DG	HG03198	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03823.DG	HG03823	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
HG03824.DG	HG03824	BEB	BEB	OUTGROUP	South_Asia	T0	OUTGROUP
HG03717.DG	HG03717	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03718.DG	HG03718	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG00323.DG	HG00323	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG00324.DG	HG00324	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG03755.DG	HG03755	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03756.DG	HG03756	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03684.DG	HG03684	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03685.DG	HG03685	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
HG01140.DG	HG01140	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG01142.DG	HG01142	CLM	CLM	OUTGROUP	Americas	T0	OUTGROUP
HG04214.DG	HG04214	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
