sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role
HG01251.DG	HG01251	CLM	CLM	OUTGROUP	Americas	Colombia	6.230833	-75.590556	0	0	1101645	PASS	T0	OUTGROUP
HG02410.DG	HG02410	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101622	PASS	T0	OUTGROUP
HG02419.DG	HG02419	ACB-2	ACB-2	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101425	PASS	T0	OUTGROUP
HG03802.DG	HG03802	BEB	BEB	OUTGROUP	South_Asia	Bangladesh	23.763889	90.388889	0	0	1101650	PASS	T0	OUTGROUP
HG03803.DG	HG03803	BEB	BEB	OUTGROUP	South_Asia	Bangladesh	23.763889	90.388889	0	0	1101640	PASS	T0	OUTGROUP
HG02585.DG	HG02585	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101441	PASS	T0	OUTGROUP
HG02586.DG	HG02586	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101447	PASS	T0	OUTGROUP
HG03850.DG	HG03850	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101648	PASS	T0	OUTGROUP
HG03851.DG	HG03851	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101636	PASS	T0	OUTGROUP
HG03693.DG	HG03693	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101635	PASS	T0	OUTGROUP
HG03694.DG	HG03694	STU-1	STU-1	OUTGROUP	South_Asia	Sri Lanka			0	0	1101630	PASS	T0	OUTGROUP
HG00699.DG	HG00699	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101615	PASS	T0	OUTGROUP
HG00701.DG	HG00701	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101626	PASS	T0	OUTGROUP
HG03077.DG	HG03077	MSL	MSL	WEST_AFRICA	West_Africa	Sierra Leone	7.875833	-11.190833	0	0	1101419	PASS	T0	OUTGROUP
HG03078.DG	HG03078	Mende	Mende	WEST_AFRICA	West_Africa	Sierra Leone	8.5	-13.2	0	0	1101391	MERGE_PASS	T0	OUTGROUP
NA18945.DG	NA18945	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101616	PASS	T0	OUTGROUP
NA18946.DG	NA18946	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101604	PASS	T0	OUTGROUP
HG02143.DG	HG02143	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101510	PASS	T0	OUTGROUP
HG02144.DG	HG02144	ACB	ACB	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101423	PASS	T0	OUTGROUP
NA18640.DG	NA18640	CHB	CHB	OUTGROUP	East_Asia	China	39.916667	116.383333	0	0	1101617	PASS	T0	OUTGROUP
NA18641.DG	NA18641	CHB	CHB	OUTGROUP	East_Asia	China	39.916667	116.383333	0	0	1101622	PASS	T0	OUTGROUP
HG00690.DG	HG00690	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101615	PASS	T0	OUTGROUP
HG00692.DG	HG00692	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101597	PASS	T0	OUTGROUP
NA20890.DG	NA20890	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101629	PASS	T0	OUTGROUP
NA20891.DG	NA20891	GIH	GIH	OUTGROUP	Americas	USA	23.2	72.7	0	0	1101638	PASS	T0	OUTGROUP
HG02076.DG	HG02076	KHV	KHV	OUTGROUP	SE_Asia	Vietnam	10.80001	106.65	0	0	1101616	PASS	T0	OUTGROUP
HG02078.DG	HG02078	KHV	KHV	OUTGROUP	SE_Asia	Vietnam	10.80001	106.65	0	0	1101613	PASS	T0	OUTGROUP
HG03136.DG	HG03136	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101422	PASS	T0	OUTGROUP
HG03139.DG	HG03139	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101422	PASS	T0	OUTGROUP
NA19670.DG	NA19670	MXL	MXL	OUTGROUP	Americas	USA	34.05	-118.25	0	0	1101641	PASS	T0	OUTGROUP
NA19676.DG	NA19676	MXL	MXL	OUTGROUP	Americas	USA	34.05	-118.25	0	0	1101465	PASS	T0	OUTGROUP
HG04152.DG	HG04152	BEB	BEB	OUTGROUP	South_Asia	Bangladesh	23.763889	90.388889	0	0	1101667	PASS	T0	OUTGROUP
HG04153.DG	HG04153	BEB	BEB	OUTGROUP	South_Asia	Bangladesh	23.763889	90.388889	0	0	1101643	PASS	T0	OUTGROUP
HG00598.DG	HG00598	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101582	PASS	T0	OUTGROUP
HG00599.DG	HG00599	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101622	PASS	T0	OUTGROUP
NA18969.DG	NA18969	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101641	PASS	T0	OUTGROUP
NA18970.DG	NA18970	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101631	PASS	T0	OUTGROUP
NA20339.DG	NA20339	ASW	ASW	OUTGROUP	Americas	USA			0	0	1101489	PASS	T0	OUTGROUP
NA20340.DG	NA20340	ASW	ASW	OUTGROUP	Americas	USA			0	0	1101460	PASS	T0	OUTGROUP
HG02792.DG	HG02792	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101637	PASS	T0	OUTGROUP
HG02793.DG	HG02793	PJL	PJL	OUTGROUP	South_Asia	Pakistan	31.549722	74.343611	0	0	1101660	PASS	T0	OUTGROUP
HG02588.DG	HG02588	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101436	PASS	T0	OUTGROUP
HG02589.DG	HG02589	GWD	GWD	WEST_AFRICA	West_Africa	Gambia	13.453056	-16.5775	0	0	1101449	PASS	T0	OUTGROUP
HG02420.DG	HG02420	ACB-1	ACB-1	OUTGROUP	Other	Barbados	13.17	-59.5525	0	0	1101522	PASS	T0	OUTGROUP
HG02425.DG	HG02425	PEL	PEL	OUTGROUP	Americas	Peru	-12.06	-77.0375	0	0	1101624	PASS	T0	OUTGROUP
NA20759.DG	NA20759	TSI	TSI	EUROPE_CONTROL	Southern_Europe	Italy	40.00001	9.0	0	0	1101685	PASS	T0	CONTROL
NA20760.DG	NA20760	TSI	TSI	EUROPE_CONTROL	Southern_Europe	Italy	40.00001	9.0	0	0	1101634	PASS	T0	CONTROL
HG02941.DG	HG02941	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101456	PASS	T0	OUTGROUP
HG02943.DG	HG02943	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.50001	6.0	0	0	1101398	MERGE_PASS	T0	OUTGROUP
HG03897.DG	HG03897	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101638	PASS	T0	OUTGROUP
HG03898.DG	HG03898	STU	STU	OUTGROUP	South_Asia	Sri Lanka			0	0	1101677	PASS	T0	OUTGROUP
HG03069.DG	HG03069	Mende	Mende	WEST_AFRICA	West_Africa	Sierra Leone	8.5	-13.2	0	0	1101401	PASS	T0	OUTGROUP
HG03072.DG	HG03072	Mende	Mende	WEST_AFRICA	West_Africa	Sierra Leone	8.5	-13.2	0	0	1101383	PASS	T0	OUTGROUP
HG03303.DG	HG03303	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101414	PASS	T0	OUTGROUP
HG03304.DG	HG03304	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101411	PASS	T0	OUTGROUP
HG00464.DG	HG00464	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101598	PASS	T0	OUTGROUP
HG00472.DG	HG00472	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101622	PASS	T0	OUTGROUP
HG01756.DG	HG01756	IBS	IBS	IBERIA	Iberia	Spain	38.0	-1.1	0	0	1101638	PASS	T0	TARGET
HG01757.DG	HG01757	IBS	IBS	IBERIA	Iberia	Spain	38.0	-1.1	0	0	1101664	PASS	T0	TARGET
NA18985.DG	NA18985	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101622	PASS	T0	OUTGROUP
NA18986.DG	NA18986	JPT	JPT	OUTGROUP	East_Asia	Japan	37.85001	139.001	0	0	1101606	PASS	T0	OUTGROUP
HG00537.DG	HG00537	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101628	PASS	T0	OUTGROUP
HG00542.DG	HG00542	CHS	CHS	OUTGROUP	East_Asia	China			0	0	1101638	PASS	T0	OUTGROUP
HG00864.DG	HG00864	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101636	PASS	T0	OUTGROUP
HG00867.DG	HG00867	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101625	PASS	T0	OUTGROUP
HG01058.DG	HG01058	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101629	PASS	T0	OUTGROUP
